speyeria_diana
Record.Number,Scientific.Name,Sex,Observation.Date,Verified.Date,Specimen.Type,Organism.Type,Status,Region(s),Lat/Long,Longitude,Precision,Location.Notes,Observation.Notes,Submitter,Data.Source,Partner.Project,Updated.Date
497120,Speyeria diana,M,unknown,09/06/2010,Photograph,butterfly,Unknown,United States,,,point record,,,BAMONA (3),,,10/03/2011 09:33:39
498323,Speyeria diana,F,unknown,09/06/2010,Photograph,butterfly,Unknown,Logan CountyArkansasUnited States,,,point record,,,BAMONA (3),,,09/06/2010 21:49:29
498324,Speyeria diana,M,unknown,09/06/2010,Photograph,butterfly,Unknown,Logan CountyArkansasUnited States,,,point record,,,BAMONA (3),,,09/06/2010 21:49:30
498347,Speyeria diana,F,unknown,09/06/2010,Photograph,butterfly,Unknown,Logan CountyArkansasUnited States,,,point record,,,BAMONA (3),,,09/06/2010 21:49:36
535458,Speyeria diana,M,05/22/2011,01/01/2012,Photograph,butterfly,Resident,Hempstead CountyArkansasUnited States,33.80101957666,-93.793791532518,point record,Rick Evans Grandview Prairie WMA,Seen getting nourishment from old poop.,Jeff Trahan (256),,,01/01/2012 09:38:24
535692,Speyeria diana,M,06/01/2011,08/15/2011,Photograph,butterfly,Resident,Okmulgee CountyOklahomaUnited States,35.5217845,-95.966160499996,point record,,,tdve (2318),,,08/15/2011 13:47:07
537568,Speyeria diana,M,06/08/2011,06/08/2011,Photograph,butterfly,Resident,Oconee CountySouth CarolinaUnited States,34.871742855513,-83.17298412323,point record,,"Seen on a warm. cloudy-bright day, near horse droppings",ptrkent (2594),,,06/08/2011 22:04:13
537640,Speyeria diana,F,06/07/2011,06/09/2011,Photograph,butterfly,Resident,Okmulgee CountyOklahomaUnited States,35.523642,-95.966157900002,point record,,"Female showed up six days after the males.  My wife said,""she posed very nicely on the coneflowers for her photoshoot.""",tdve (2318),,,06/09/2011 12:51:28
538094,Speyeria diana,M,06/12/2011,06/16/2011,Photograph,butterfly,Resident,Sequatchie CountyTennesseeUnited States,35.434667860814,-85.539561510086,point record,35°26'3.7658''N 85°32'21.7648''W,"Male Diana Fritillaries next to the ranger station. There were several males in the adjacent flower field nectaring on butterfly weed. Also saw male patrolling the forest. Hot, dry, day.",pcroom (2754),,,06/16/2011 10:30:25
539374,Speyeria diana,M,06/15/2011,07/07/2011,Photograph,butterfly,Resident,Macon CountyNorth CarolinaUnited States,35.089574279432,-83.4614610672,point record,"Stilwell Gardens, 70 Timber Ridge Road",sipping on Asclepias Tuberosa,KAStilwell (2915),,,05/20/2017 16:52:26
545189,Speyeria diana,M,04/04/2008,07/13/2011,Photograph,butterfly,Resident,York CountySouth CarolinaUnited States,34.853784200075,-81.277885437012,point record,Middle of the clearing,"Another species that I found feasting on fresh chicken manure, a really warm, sunny day in the middle of a clearing in hardwood forest.",Godiva (4012),,,07/13/2011 16:40:02
545935,Speyeria diana,M,07/17/2011,07/28/2011,Photograph,butterfly,Resident,Banks CountyGeorgiaUnited States,34.381682,-83.6058797,point record,,"Spotted on an overcast morning, about 72 degrees. He briefly visited 'Blue Fortune' Hyssop before flitting outside the garden. Ironweeds and milkweed are blooming in the garden; wild violets are nearby.",gardeningqueen (4201),,,07/28/2011 09:40:09
593636,Speyeria diana,M,08/17/2011,08/21/2011,Photograph,butterfly,Resident,Henderson CountyNorth CarolinaUnited States,35.425882063126,-82.652807235718,point record,Sighted in the Pisgah National Forest near the Mills River Campground,Was on a Joe-Pye weed,237ward (5669),,,08/21/2011 08:20:38
613598,Speyeria diana,F,08/28/2011,09/02/2011,Photograph,butterfly,Resident,Bledsoe CountyTennesseeUnited States,35.6056231,-85.1888498,point record,"Fire Tower Rd, Fall Creek Falls State Park.",,Doug Bruce (97),,,09/02/2011 05:58:25
614534,Speyeria diana,F,09/03/2011,09/07/2011,Photograph,butterfly,Resident,Greene CountyTennesseeUnited States,36.1631574,-82.8309861,point record,"Actual location is Old Forge Rd, in Cherokee National Forest.",Nectaring on thistle.,Doug Bruce (97),,,09/07/2011 05:39:38
615306,Speyeria diana,F,09/07/2011,06/16/2012,Photograph,butterfly,Resident,United StatesNorth CarolinaHenderson County,35.358011202373,-82.655446529389,point record,"In the Pisgah Ranger District of the Pisgah National Forest.
Along the Riverside Trail just east of the junction with the Bradley Creek Trail.",The butterfly was on a bull thistle.,237ward (5669),,,06/16/2012 19:04:18
691128,Speyeria diana,F,09/03/2011,11/17/2011,Photograph,butterfly,Resident,Sevier CountyTennesseeUnited States,35.681840602445,-83.652992248535,point record,"Found near Little River, Great Smoky Mountains National Park",,Melinda Fawver (6281),,,11/17/2011 06:23:39
691387,Speyeria diana,M,07/02/2009,11/22/2011,Photograph,butterfly,Resident,Marion CountyTennesseeUnited States,35.047143524386,-85.396041870117,point record,The location shown is a generalized one.,,Tommie Rogers (397),,,11/22/2011 09:59:13
714401,Speyeria diana,F,05/27/2012,06/07/2012,Photograph,butterfly,Resident,United StatesGeorgiaCoweta County,33.493569580368,-84.833687773155,point record,,Mostly observed on Butterfly weed.  Seen both in edge of wooded land and garden.,jamescamp (14395),,,06/07/2012 12:18:40
714402,Speyeria diana,M,05/27/2012,06/07/2012,Photograph,butterfly,Resident,United StatesGeorgiaCoweta County,33.4935830013,-84.833650222229,point record,,Seen both in edge of wooded land and garden.  Mostly observed on Butterfly bush or cone flower.,jamescamp (14395),,,06/07/2012 12:21:52
714940,Speyeria diana,M,07/02/2009,06/04/2012,Photograph,butterfly,Resident,United StatesTennesseeMarion County,35.071022319223,-85.368854999542,point record,Marion county deciduous woods,,Tommie Rogers (397),,,06/04/2012 10:51:55
716068,Speyeria diana,M,06/14/2011,06/13/2012,Photograph,butterfly,Resident,United StatesGeorgiaFannin County,34.843181030729,-84.352579414845,point record,"My home in the mountains of Blue Ridge,GA at 1800 feet at the end of Down Under Rd.",Diana Fritillary Speyeria diana on butterfly bush. Weather: clear and warm,MarkScottsmltd (14873),,,05/20/2017 16:52:26
716080,Speyeria diana,F,09/10/2011,06/13/2012,Photograph,butterfly,Resident,United StatesGeorgiaFannin County,34.843183232068,-84.352579414845,point record,"My home in the mountains of Blue Ridge,Ga at 1800 feet at the end of Down Under Rd.",Diana Fritillary Speyeria diana on butterfly bush. Weather: clear and warm,MarkScottsmltd (14873),,,05/20/2017 16:52:26
718390,Speyeria diana,M,06/16/2012,06/23/2012,Photograph,butterfly,Resident,United StatesTennesseeSequatchie County,35.434982558173,-85.539789497852,point record,Meadow next ranger station,,Melinda Fawver (6281),,,06/23/2012 17:38:29
722296,Speyeria diana,F,06/23/2012,07/01/2012,Photograph,butterfly,Resident,United StatesTennesseeWashington County,36.2942722,-82.4734787,point record,"Specific location is by the Rt 107 bridge crossing of Katy Creek, in southern Washington Co.",,Doug Bruce (97),,,07/01/2012 04:29:00
723691,Speyeria diana,F,07/02/2012,07/05/2012,Photograph,butterfly,Resident,United StatesTennesseeCarter County,36.459846035831,-82.085423469543,point record,Within a few tenths of a mile from the gate at the start of the USFS road up to Holston High Knob/Fire Tower.,"Individual was perched on a Sycamore tree, just above a large patch of Poke Milkweed (Asclepias exaltata). A male individual approached this female, perched right behind her, fluttered his wings several times, and then approached her. She flew away, and landed on a nearby Sassafrass tree. (Note that I also have a photo of the male and female together, available if desired.)",Marty Silver (11988),,,05/20/2017 16:52:26
727486,Speyeria diana,M,05/17/2012,07/19/2012,Photograph,butterfly,Resident,United StatesArkansasSebastian County,35.335398231655,-94.297467470167,point record,,Butterfly was interested in wild verbena flowers in backyard.,CA Ivy (16816),,,07/19/2012 11:53:54
741458,Speyeria diana,M,06/17/2012,09/21/2012,Photograph,butterfly,Resident,United StatesUnion CountyGeorgia,34.784360052505,-84.021570682525,point record,"Cooper Creek Wildlife Management Area, Duncan Ridge Rd. ",It was an overcast morning and the butterflies were easy to approach. Only males were seen and all had very minimal damage or wear on their wings. This individual was feeding on scat in the middle of a gravel road.,Dale Halbritter (1229),,,09/21/2012 13:40:27
741460,Speyeria diana,F,09/03/2012,09/21/2012,Photograph,butterfly,Resident,United StatesUnion CountyGeorgia,34.774613795965,-84.081287384033,point record,"Coopers Creek Wildlife Management Area, Duncan Ridge Rd.",It was a cool and overcast day. Only females were seen and all individuals observed had moderate damage and wear on their wings. Most individuals were perched on short vegetation in open areas along the road. They were not easily approachable and netting was necessary for photographs.,Dale Halbritter (1229),,,09/21/2012 13:41:35
744084,Speyeria diana,F,09/25/2012,10/21/2012,Photograph,butterfly,Resident,United StatesArkansasSebastian County,35.346285451981,-94.296083450316,point record,"Public fishing access, Lock and Dam Road, ).5 miles north of entance to Sringhill park, Barling AR.","Mid day. Sunny warm breezy. Arkansas River and wooded edge vegetation. WOW, yes, a female Diana nectaring on Boneset flowers.  ",CA Ivy (16816),,,10/21/2012 14:07:47
744393,Speyeria diana,M,09/28/2012,10/21/2012,Photograph,butterfly,Resident,United StatesArkansasSebastian County,35.346145432737,-94.295654296871,point record,"Public fishing access, Lock and Dam road 0.5 miles north of Springhill park entrance, Barling AR.","Mid day. Cloudy humid after early morn rain. Arkansas river and wood edge vegetation. A butterfly flew up the trail and landed on my left hip, she then flew to a nearby Boneset This lady Diana loved nectaring on Boneset and getting her picture taken.",CA Ivy (16816),,,10/21/2012 15:16:05
748725,Speyeria diana,NA,09/11/2011,01/01/2011,Photograph,butterfly,Resident,Cleburne CountyAlabamaUnited States,33.78,-85.56,point record,Coleman Lake,,vitaly charny (11),,,11/01/2012 18:05:47
748908,Speyeria diana,NA,09/29/2011,01/01/2011,Photograph,butterfly,Resident,Cleburne CountyAlabamaUnited States,33.83,-85.58,point record,Talladega National Forest,,legacy.reporter (53),,,11/01/2012 18:06:52
758649,Speyeria diana,NA,05/20/2012,01/02/2013,Photograph,butterfly,Resident,United StatesArkansasPope County,35.453905846339,-93.091567754743,point record,in butterfly garden,,Debbie Taylor (22073),,,01/02/2013 12:29:52
764962,Speyeria diana,M,06/23/2012,02/15/2013,Photograph,butterfly,Resident,United StatesTennesseeJohnson County,36.555783317296,-81.895834207535,point record,36.555760/-81.895891,Both sexes were observed on edge of violet rich woods.,tbickhart@herpetologicalassociates.com (15721),,,02/15/2013 18:04:51
770919,Speyeria diana,NA,05/28/2012,12/01/2012,Photograph,butterfly,Resident,Cleburne CountyAlabamaUnited States,33.7,-85.6,point record,FS Road 554 Talladega NF,,legacy.reporter (53),,,03/18/2013 11:34:46
770977,Speyeria diana,NA,06/03/2012,12/01/2012,Sighting,butterfly,Resident,Cleburne CountyAlabamaUnited States,33.7,-85.6,point record,FS Road 554 Talladega NF,,vitaly charny (11),,,03/18/2013 11:34:56
771003,Speyeria diana,NA,06/04/2012,12/01/2012,Sighting,butterfly,Resident,Clay CountyAlabamaUnited States,33.46,-85.88,point record,Lake Chinnabee,,legacy.reporter (53),,,03/18/2013 11:35:02
771116,Speyeria diana,NA,06/24/2012,12/01/2012,Photograph,butterfly,Resident,Cleburne CountyAlabamaUnited States,33.78,-85.56,point record,Coleman Lake Talladega NF,,vitaly charny (11),,,03/18/2013 11:35:36
771139,Speyeria diana,NA,07/04/2012,12/01/2012,Sighting,butterfly,Resident,Cleburne CountyAlabamaUnited States,33.7,-85.6,point record,FS Road 554 Talladega NF,,vitaly charny (11),,,03/18/2013 11:35:42
771375,Speyeria diana,NA,08/23/2012,12/01/2012,Photograph,butterfly,Resident,Clay CountyAlabamaUnited States,33.37,-85.84,point record,"near Pyriton, Lineville",,legacy.reporter (53),,,03/18/2013 11:36:48
771408,Speyeria diana,NA,08/25/2012,12/01/2012,Photograph,butterfly,Resident,Cleburne CountyAlabamaUnited States,33.78,-85.56,point record,Coleman Lake Talladega NF,,vitaly charny (11),,,03/18/2013 11:36:55
771434,Speyeria diana,NA,08/25/2012,12/01/2012,Photograph,butterfly,Resident,Cleburne CountyAlabamaUnited States,33.7,-85.6,point record,FS Road 554 Talladega NF,,vitaly charny (11),,,03/18/2013 11:37:02
774118,Speyeria diana,M,05/26/2012,04/12/2013,Photograph,butterfly,Resident,United StatesOklahomaCreek County,35.934289,-96.404556999998,point record,,Feeding on Butterfly weed,Rhinorse (26508),,,04/12/2013 16:31:25
854173,Speyeria diana,M,07/22/1989,04/24/2013,Photograph,butterfly,Resident,United StatesKentuckyLetcher County,37.197467144447,-82.712631225586,point record,"Original notes say ""near Neon"" in Letcher Co., KY.","Male nectaring on milkweed. This was the first Diana I'd ever seen and I managed to get a picture of it (in pre-digital photo days...). My original notes say ""22 July 1989, Letcher Co. KY"" and ""near Neon"" as the location. I was surveying birds for the Kentucky Breeding Bird Atlas project when I found this butterfly.",Mike Stinson (13037),,,04/24/2013 21:17:51
902780,Speyeria diana,F,06/10/2013,06/10/2013,Photograph,butterfly,Resident,United StatesArkansasSebastian County,35.328739787258,-94.287420402396,point record,"Road edge about 1.5 miles east of Barling, AR.",Lady Diana nectaring butterfly weed flowers.,CA Ivy (16816),,,06/10/2013 23:25:58
903273,Speyeria diana,M,06/07/2013,06/13/2013,Photograph,butterfly,Resident,United StatesArkansas,34.5037004,-93.055179500003,point record,"Lake Ouachita, Hot Springs Arkansas",,ruthbarr (36622),,,06/13/2013 22:47:00
903284,Speyeria diana,M,06/12/2013,06/13/2013,Photograph,butterfly,Resident,United StatesArkansasSaline County,34.635222823732,-92.614764869209,point record,Near house in wooded area.  Creek nearby flows into Saline River.,"Very active, nectaring on purple coneflowers.  Hot dry weather.  ",Janna Jennings (36663),,,06/13/2013 22:48:37
907758,Speyeria diana,M,06/30/2013,07/15/2013,Photograph,butterfly,Resident,Washington CountyUnited StatesVirginia,36.642391,-81.912011,point record,Location is in a garden surrounded by deep woods; one third of a mile from the hollow road and about a mile from the Holston River.,"Temperature in the mid-70s. Frequent rain showers in the days previous to the sightings.  The butterfly bush blooms opened around June 27.  The garden near the butterfly bush includes red bee balm in full bloom, a hummingbird feeder, and baskets of pink and purple petunias.  The garden area is surrounded by deep woods.",Sara Combs (39318),,,07/15/2013 18:21:43
908449,Speyeria diana,M,07/03/2013,07/03/2013,Photograph,butterfly,Resident,United StatesKentuckyBell County,36.66726145001,-83.576728999614,point record,"Front yard, Brush Mountain Farms, Miracle, Bell County, Kentucky, 12 miles east of Middlesboro KY. Adjacent to Cumberland Gap National Park","Cloudy, cooler, loves the Lantana",bethyag (39405),,,07/03/2013 21:09:37
910656,Speyeria diana,M,07/16/2013,07/16/2013,Photograph,butterfly,Resident,United StatesTennesseeDeKalb County,35.910151457569,-85.805711746216,point record,"County House Rd., about 4 miles south of Smithville, TN",,Judy Fuson (42190),,,07/16/2013 21:37:00
928420,Speyeria diana,F,09/02/2013,09/08/2013,Photograph,butterfly,Resident,United StatesArkansasSebastian County,35.324509544443,-94.293272495273,point record,"Field about 0.5 miles east of Barling, AR.",Diana fritillary on field thistle.,CA Ivy (16816),,,09/08/2013 12:00:15
929029,Speyeria diana,F,09/02/2013,09/11/2013,Photograph,butterfly,Resident,United StatesTennesseeRoane County,35.858096,-84.7211236,point record,"Fire Tower Rd., Mount Roosevelt.",,Doug Bruce (97),,,09/11/2013 11:53:49
929406,Speyeria diana,F,09/07/2013,09/13/2013,Photograph,butterfly,Resident,United StatesTennesseeVan Buren County,35.662744421523,-85.359381437301,point record,"Fall Creek Falls State Park, on west side of dam.",,Doug Bruce (97),,,09/13/2013 05:52:06
978103,Speyeria diana,M,06/07/2014,06/13/2014,Photograph,butterfly,Resident,United StatesTennesseeMorgan County,36.107881172229,-84.455349174653,point record,"Cell Block D, Brushy Mt. Penitentiary; actually, near there on Rt. 116.",,stephen stedman (48),,,06/13/2014 11:02:52
978789,Speyeria diana,M,06/13/2014,06/13/2014,Photograph,butterfly,Resident,United StatesArkansasFranklin County,35.308852088697,-93.906566074409,point record,"Road edge of Hwy 22 about 3 miles east of Charleston, AR.",Diana male nectaring road edge Orange butterfly weed.,CA Ivy (16816),,,06/13/2014 21:34:51
979074,Speyeria diana,M,06/15/2014,06/16/2014,Photograph,butterfly,Resident,United StatesArkansasConway County,35.124267504547,-92.909439712373,point record,"The sighting occurred at 50 Bratcher Rd., Morrilton, AR 72110, although we are actually about 20 miles out in the country west as the crow flies from town.  We are closer to campground D of Petit Jean State Park.  We are now also actually on Chapaway Road, which is not on most maps even though our mailing address is still Bratcher Rd.  Email me with any questions if you want more information.","On June 14 and 15, both sunny afternoons, I observed this butterfly feeding on a patch of wild monarda.  It would flit from one blossom to another, not sitting still, so I had a hard time getting a good clearly focused shot of it.  It also would land on rudbeckia but not as often.  On he 14th I observed the same butterfly or one of the same species about a quarter of a mile from the others, perched on butterfly weed just before dusk.  It kept very still but I didn't have my camera with me or time to get it.",Papakid2 (54725),,,06/16/2014 07:13:16
979352,Speyeria diana,M,06/15/2014,07/17/2014,Photograph,butterfly,Resident,United StatesKentuckyLeslie County,37.076701842533,-83.43042829401,point record,,,von40827 (14208),,,07/17/2014 22:19:07
979356,Speyeria diana,M,06/17/2014,07/17/2014,Photograph,butterfly,Resident,United StatesKentuckyLeslie County,37.076701842533,-83.430406836338,point record,,,von40827 (14208),,,07/17/2014 22:21:44
979453,Speyeria diana,F,06/17/2014,06/18/2014,Photograph,butterfly,Resident,United StatesArkansasSebastian County,35.3121963,-94.29136,point record,,Diana nectaring bee balm.,CA Ivy (16816),,,06/18/2014 21:32:46
981896,Speyeria diana,M,06/18/2014,07/17/2014,Photograph,butterfly,Resident,United StatesKentuckyLeslie County,37.076736081637,-83.430299547977,point record,,,von40827 (14208),,,07/17/2014 10:29:32
981972,Speyeria diana,M,06/14/2014,06/21/2014,Photograph,butterfly,Resident,United StatesTennesseeClaiborne County,36.538934916694,-83.777917055832,point record,,This butterfly was feeding on a Coneflower.  Conditions were sunny and warm.,peggyt67 (54935),,,06/21/2014 07:55:11
982671,Speyeria diana,M,06/22/2014,07/02/2014,Photograph,butterfly,Resident,United StatesTennesseeAnderson County,36.0889674,-84.2813143,point record,"Only the general location is indicated on the map, taking a conservative approach to concern about possible collectors of this declining species.  The precise location is on Rt 116 northwest of Graves Gap, at N36.15486, W84.25974 .",,Doug Bruce (97),,,07/02/2014 10:21:20
982812,Speyeria diana,M,06/07/2014,06/25/2014,Photograph,butterfly,Resident,United StatesArkansasHoward County,34.0723107,-93.9081083,point record,Stone Road Glade Natural Area,,rseidler (1065),,,06/25/2014 17:45:49
982821,Speyeria diana,F,06/07/2014,06/25/2014,Photograph,butterfly,Resident,United StatesArkansasHoward County,34.0783633,-93.9043788,point record,Stone Road Glade Natural Area,,rseidler (1065),,,06/25/2014 17:44:40
983741,Speyeria diana,M,06/30/2014,06/30/2014,Photograph,butterfly,Resident,Sedgwick CountyKansasUnited States,37.703095,-97.3480359,point record,,"Wind gusts at 37mph, from the south.  94+plus temp,  68% humidity.   Observed about noon CST.    Made several passes around the garden at separate times.      Moving very fast and difficult to get close to.   I have one other photo I didn't upload.  This is the best I could do.  Hope it is sufficient.  Thanks Rosa

I am guessing this is a stray blown in from Oklahoma",rosacmchenry@sbcglobal.net (20882),,,06/30/2014 19:16:51
983909,Speyeria diana,F,06/30/2014,07/01/2014,Photograph,butterfly,Resident,United StatesArkansasSebastian County,35.319716550817,-94.276041565221,point record,"Road edge in Fort Chaffee WMA3 about 2 miles east of Barling, AR.",Lady Diana nectaring button bush.,CA Ivy (16816),,,07/01/2014 19:50:01
985946,Speyeria diana,M,06/28/2014,07/05/2014,Photograph,butterfly,Resident,United StatesKentuckyPulaski County,36.981353459646,-84.40919596365,point record,"Little Lick Recreation Area, Daniel Boone NF",,roseanna (121),,,07/05/2014 07:16:17
986014,Speyeria diana,M,07/03/2014,07/03/2014,Photograph,butterfly,Resident,United StatesOklahomaMuskogee County,35.7478769,-95.3696909,point record,"The Papilion Butterfly Gardens Honor Heights Park Muskogee,Oklahoma",,RAguirre (51836),,,07/03/2014 19:04:55
986838,Speyeria diana,F,07/05/2014,07/09/2014,Photograph,butterfly,Resident,United StatesTennesseeSevier County,35.695380633842,-83.630360702331,point record,Metcalf Bottoms Trail -- along side trail to Walker Sisters Cabin,,Cathy Miller (55737),,,07/09/2014 18:26:50
986878,Speyeria diana,M,06/21/2005,07/10/2014,Photograph,butterfly,Resident,United StatesKentuckyMcCreary County,36.671309684373,-84.673302798019,point record,"Along highway 1363 in southwestern McCreary County, KY",,roseanna (121),,,07/10/2014 21:29:01
989873,Speyeria diana,M,07/19/2014,07/21/2014,Photograph,butterfly,Resident,United StatesOklahomaPayne County,36.060514,-97.029911,point record,,"Flying through yard, landed briefly on globe amaranth fireworks, then took off again. Best guess is it was just passing through. ",gunhilda (15517),,,07/21/2014 15:17:53
1001032,Speyeria diana,M,08/14/2014,08/28/2014,Photograph,butterfly,Resident,United StatesNorth CarolinaMitchell County,36.103632690956,-82.373867808328,point record,,,BillMcGighan (56668),,,08/28/2014 18:29:09
1001335,Speyeria diana,F,08/14/2014,08/28/2014,Photograph,butterfly,Resident,United StatesNorth CarolinaHenderson County,35.23280638814,-82.480264952641,point record,"The search address did not indicate our house, but rather the intersection with Pinnacle Falls Lane, which is not correct, so I adjusted with the pencil to the front SE corner of the house, where the butterfly bush is located.  Elevation is approximately 3000 feet.","It worked over this butterfly bush for more than two hours without stopping and returned the next morning to feast as well.  Sunny day, high 70's.",gmeuwissen (57582),,,08/28/2014 18:23:52
1011978,Speyeria diana,F,09/07/2014,09/07/2014,Photograph,butterfly,Resident,United StatesArkansasSebastian County,35.319769556712,-94.276011739069,point record,Road edge in Fort Chaffee WMA about 2.5 miles east of Barling. AR.,Flew from thistle to wood edge.,CA Ivy (16816),,,09/07/2014 21:27:04
1013802,Speyeria diana,F,09/03/2014,09/20/2014,Photograph,butterfly,Resident,United StatesTennesseeBledsoe County,35.451716482629,-85.213270725214,point record,,,Tommie Rogers (397),,,09/20/2014 11:01:13
1014017,Speyeria diana,F,09/20/2014,09/21/2014,Photograph,butterfly,Resident,United StatesTennesseeCumberland County,35.833958681665,-85.105440491494,point record,Property of Edmund K. LeGrand at 1631 Leffle Webb Rd.,,stephen stedman (48),,,09/21/2014 04:11:36
1045912,Speyeria diana,M,06/18/2010,07/16/2015,Photograph,butterfly,Resident,United StatesGeorgiaRabun County,34.97083575099,-83.393743002515,point record,,,ncrosbyrd (50024),,,07/16/2015 12:49:13
1046904,Speyeria diana,M,06/03/2015,06/07/2015,Photograph,butterfly,Resident,United StatesArkansasSebastian County,35.3033057,-94.3366385,point record,,male nectaring orange butterfly weed,CA Ivy (16816),,,06/07/2015 05:42:53
1047781,Speyeria diana,M,06/11/2015,12/10/2020,Photograph,butterfly,Resident,United StatesNorth CarolinaMcDowell County,35.666230273991,-82.121348140213,point record,"At the back of the house (52 Mackeys Farm Drive, Old Fort, NC, 28762) on the wooden porch.",Butterfly opened and closed wings slowly for at least 15 minutes before flying away. It was on the porch and when it landed it stayed in one spot until it flew away. It was hot and a bit windy outside.,vmurphy97 (61410),,,12/10/2020 05:43:46
1048427,Speyeria diana,M,06/14/2015,06/30/2015,Photograph,butterfly,Resident,United StatesTennesseeBlount County,35.603516188476,-83.78362803554,point record,By sewage treatment ponds on the east side of Cade's Cove.,Nectaring on clover during late afternoon. Temperature about 85F.,Doug Bruce (97),,,06/30/2015 04:37:17
1048821,Speyeria diana,M,06/17/2015,06/17/2015,Photograph,butterfly,Resident,United StatesKentuckyPulaski County,36.993300475445,-84.392795488145,point record,"2.5 miles south of Mount victory, KY",,roseanna (121),,,06/17/2015 21:59:38
1049421,Speyeria diana,M,06/20/2015,06/21/2015,Sighting,butterfly,Resident,United StatesTennesseeCocke County,35.789130424509,-83.222092137667,point record,"151 Sonshine Ridge Rd, Cosby, TN 37722","male orange and brown-black Speyeria diana, looked newly emerged, flying near ground around some violets. It lighted for just a second, not long enough to photograph but long enough to get a view of the open wings. It then flew away, high and fast toward the trees.",stomlins701 (18066),,,06/21/2015 00:08:45
1049883,Speyeria diana,M,06/22/2015,06/22/2015,Photograph,butterfly,Resident,United StatesTennesseeCocke County,35.788921553166,-83.222220883701,point record,"151 Sonshine Ridge Rd, Cosby, TN 37722",male diana fritillary on purple coneflowers,stomlins701 (18066),,,06/22/2015 22:20:16
1050867,Speyeria diana,M,06/27/2015,06/28/2015,Photograph,butterfly,Resident,United StatesKentuckyMcCreary County,36.637347,-84.6346499,point record,"9-10 miles southwest of Stearns, KY",,roseanna (121),,,06/28/2015 12:48:40
1051212,Speyeria diana,M,06/29/2015,06/29/2015,Photograph,butterfly,Resident,United StatesKentuckyLeslie County,37.076684722975,-83.430342463322,point record,,,von40827 (14208),,,06/29/2015 22:07:08
1051311,Speyeria diana,M,06/29/2015,12/09/2020,Photograph,butterfly,Resident,United StatesNorth CarolinaBuncombe County,35.4619928,-82.7219971,point record,,,brhodes_avl_nc (39134),,,12/09/2020 10:39:20
